Year,Make,Model,Class,Transmission,Cylinders,Engine,FuelType,City,Highway,Combined
1985,Alfa Romeo,Spider Veloce 2000,Two Seaters,Manual 5-spd,4,2,Regular,19,25,21
1985,Ferrari,Testarossa,Two Seaters,Manual 5-spd,12,4.9,Regular,9,14,11
1985,Dodge,Charger,Subcompact Cars,Manual 5-spd,4,2.2,Regular,23,33,27
1985,Dodge,B150/B250 Wagon 2WD,Vans,Automatic 3-spd,8,5.2,Regular,10,12,11
1993,Subaru,Legacy AWD Turbo,Compact Cars,Manual 5-spd,4,2.2,Premium,17,23,19
1993,Subaru,Loyale,Compact Cars,Automatic 3-spd,4,1.8,Regular,21,24,22
1993,Subaru,Loyale,Compact Cars,Manual 5-spd,4,1.8,Regular,22,29,25
1993,Toyota,Corolla,Compact Cars,Automatic 3-spd,4,1.6,Regular,23,26,24
1993,Toyota,Corolla,Compact Cars,Manual 5-spd,4,1.6,Regular,23,31,26
1993,Toyota,Corolla,Compact Cars,Automatic 4-spd,4,1.8,Regular,23,30,25
1993,Toyota,Corolla,Compact Cars,Manual 5-spd,4,1.8,Regular,23,30,26
1993,Volkswagen,Golf III / GTI,Compact Cars,Automatic 4-spd,4,2,Regular,18,26,21
1993,Volkswagen,Golf III / GTI,Compact Cars,Manual 5-spd,4,2,Regular,21,29,24
1993,Volkswagen,Jetta III,Compact Cars,Automatic 4-spd,4,2,Regular,18,26,21
1985,Dodge,B150/B250 Wagon 2WD,Vans,Automatic 3-spd,8,5.2,Regular,12,15,13
1993,Volkswagen,Jetta III,Compact Cars,Manual 5-spd,4,2,Regular,20,28,23
1993,Volvo,240,Compact Cars,Automatic 4-spd,4,2.3,Regular,18,23,20
1993,Volvo,240,Compact Cars,Manual 5-spd,4,2.3,Regular,19,26,21
1993,Audi,100,Midsize Cars,Automatic 4-spd,6,2.8,Premium,17,22,19
1993,Audi,100,Midsize Cars,Manual 5-spd,6,2.8,Premium,17,24,19
1993,BMW,740i,Midsize Cars,Automatic 5-spd,8,4,Premium,14,20,16
1993,BMW,740il,Midsize Cars,Automatic 5-spd,8,4,Premium,14,20,16
1993,BMW,750il,Midsize Cars,Automatic 4-spd,12,5,Regular,11,17,13
1993,Buick,Century,Midsize Cars,Automatic 3-spd,4,2.2,Regular,21,28,23
